term,sentiment
boncet,0
Chobit,1
whaeahaki,0
PikeUNA,1
httptcoURq1TWQACM,0
febrifadillah,0
OPAo,0
acomplejado,0
httptcoZytDSN5m9y,0
LuisJoseAguilar,-1
PunchTweet,0
looovvveeee,0
sukkari,0
zletmeseler,0
emmaingracita,0
spiders,0
hanging,2.0
demelerini,0
whorehealth,1
godaan,0
yaratiyon,0
charmhyo,0
httptcoAxZTHrWBBI,0
asrlaraAd,0
canes,0
LAST,0
accidentado,0
Shimmery,0
windaRDN,1
bgitu,0
igual,0
originality,0
gabung,0
Journey,0
adindadradjat,0
httptco1s5wZPnqAH,0
hermana,0
ShetDi,0
hermano,0
apasiikk,0
TeenShiit,0
BrooksBeau,1
DamonYoll,0
JaariKarkuno,0
Jornada,0
A2Mese,0
terendah,0
bieberaus,-1
MarcuryLampe,0
maddoggdoritos,0
CHRIS,0
foul,0
alysharazman,0
ekaamazing,0
Ordered,-1
makemytrip,0
BataAbay,0
naturefact,0
tepaksa,0
four,-2.0
Marittttttttt,1
y82bana,0
kayokorian,0
milyona,0
maitua,0
semakin,0
neyse,0
httptcoCbXaMkbjWV,0
tambin,-1.0
PQP,0
MasterAidenLee,0
Akuilah,0
httptcofS4cKnpGQa,0
path,0
Joosten,0
Omegle,0
moyashi228,0
dottcommm,0
mickeytop5,0
siaangg,0
j1617,1
httptcoOu6dxzwlKw,1
Iphone,0
Shocker,0
OhhMyNanaa,0
ZyaadAlEssa,0
backthats,0
dimineaaHristos,0
lastjun,0
eearngg,0
cooking,0
postCivil,0
homewreccker,-1
AmandaMentos,1
Hamilton,1
College,0
VavaLatifaH,0
StormyBeauchamp,0
ayaaasptri,0
herolikedrew,0
Foundation,1
TOuchMyBodyBB,0
httptcoyzUBm5DyPd,0
anggiefahrianti,0
BAP5JongUp,0
china,0
Mohon,1.0
taksub,0
chino,0
saralois70,0
jrmmnisi,0
Jagakarsa,0
ceritanii,0
E04,0
kids,0
dernires,0
uurLet,0
arma995,0
twitenkomori,0
Nibble,0
Moreira,0
Appelpop,0
AndreaCores31,0
retiene,0
INKIGAYOLIVESTREAM,0
riskaprmla,0
httptcofT9SNRqhGh,0
Jeanshemdenboyzzzzz,0
foto2mu,0
declarar,0
COMFOT,1
rhcn07,0
squishyjinki,0
OLLG,0
Minato0331,0
singkatkanyasaat,0
